[15:31:23.5950677] [Debug  : LethalMin] OverrideSproutGlowColor set to RGBA(0.220, 1.000, 0.000, 1.000)
[15:31:23.5950677] [Debug  : LethalMin] growSpeeds set to System.Collections.Generic.List`1[System.Single]
[15:31:23.5950677] [Debug  : LethalMin] growAttacks set to System.Collections.Generic.List`1[System.Single]
[15:31:23.5950677] [Debug  : LethalMin] growCarryStrengths set to System.Collections.Generic.List`1[System.Int32]
[15:31:23.5950677] [Debug  : LethalMin] GrowSpeedMultiplier set to 1
[15:31:23.5950677] [Debug  : LethalMin] DefaultSpeed set to 1
[15:31:23.5960678] [Debug  : LethalMin] RunningSpeedMultiplier set to 1.5
[15:31:23.5960678] [Debug  : LethalMin] CarryStrength set to 3
[15:31:23.5960678] [Debug  : LethalMin] ThrowForce set to (15.00, 15.00, 15.00)
[15:31:23.5960678] [Debug  : LethalMin] HazardsResistantTo set to System.Collections.Generic.List`1[PikminHazard]
[15:31:23.5960678] [Debug  : LethalMin] ItemDetectionRange set to 5
[15:31:23.5960678] [Debug  : LethalMin] CanLatchOnToObjects set to True
[15:31:23.5970688] [Debug  : LethalMin] CanJumpOntoObjects set to True
[15:31:23.5970688] [Debug  : LethalMin] CanCarryObjects set to True
[15:31:23.5970688] [Debug  : LethalMin] AttackStrength set to 1
[15:31:23.5970688] [Debug  : LethalMin] AttackRate set to 0.5
[15:31:23.5970688] [Debug  : LethalMin] AttackDistance set to 0.5
[15:31:23.5970688] [Debug  : LethalMin] JumpLatchOnRange set to 5
[15:31:23.5980678] [Debug  : LethalMin] DamageDeltUponDeath set to 0
[15:31:23.5980678] [Debug  : LethalMin] DeathDamageRange set to 0
[15:31:23.5980678] [Debug  : LethalMin] DamageDeltUpLanding set to 0
[15:31:23.5980678] [Debug  : LethalMin] ShakeEndurance set to 0.75
[15:31:23.5980678] [Debug  : LethalMin] SpawnsIndoors set to True
[15:31:23.5990693] [Debug  : LethalMin] SpawnsOutdoors set to False
[15:31:23.5990693] [Debug  : LethalMin] SpawnsAsSprout set to False
[15:31:23.5990693] [Debug  : LethalMin] UsesPikminContainer set to False
[15:31:23.5990693] [Debug  : LethalMin] SpawnAfterDay set to -1
[15:31:23.5990693] [Debug  : LethalMin] MoonSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[15:31:23.6004220] [Debug  : LethalMin] TagSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[15:31:23.6004220] [Debug  : LethalMin] WeatherSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[15:31:23.6004220] [Debug  : LethalMin] InstaEnterOnion set to False
[15:31:23.6004220] [Debug  : LethalMin] UsePresetFormatting set to True
[15:31:23.6004220] [Debug  : LethalMin] HelpfulLevel set to 60%
[15:31:23.6014222] [Debug  : LethalMin] ScientificName set to Parasiticus pikminicus
[15:31:23.6014222] [Debug  : LethalMin] piklopediaName set to 
[15:31:23.6014222] [Debug  : LethalMin] MaxGroupSpawnSize set to 3
[15:31:23.6014222] [Info   : LethalMin] Config file generated for Pikmin Type: Bulbmin at BepInEx/BepInEx\config\Pikmin\Bulbmin.cfg
[15:31:23.6034196] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin/Bulbmin"
[15:31:23.6034196] [Message: LethalMin] Registered Pikmin Type: Bulbmin with ID: 1
[15:31:23.6034196] [Message: LethalMin] Registering Pikmin Type: Glow Pikmin
[15:31:23.6034196] [Info   : LethalMin] Generating config file for Pikmin Type: Glow Pikmin
[15:31:23.6054191] [Debug  : LethalMin] PikminPrimaryColor set to RGBA(0.000, 1.000, 0.008, 1.000)
[15:31:23.6054191] [Debug  : LethalMin] PikminSecondaryColor set to RGBA(0.102, 0.565, 0.035, 1.000)
[15:31:23.6054191] [Debug  : LethalMin] Skipping unsupported field type: PikminIcon (UnityEngine.Sprite)
[15:31:23.6054191] [Debug  : LethalMin] Skipping unsupported field type: AnimatedPikminGhostTexture (UnityEngine.Texture2D[])
[15:31:23.6054191] [Debug  : LethalMin] AnimatedPikminGhostFrameHold set to 2
[15:31:23.6054191] [Debug  : LethalMin] OverrideGhostTextureTileing set to (1.00, 1.00)
[15:31:23.6064190] [Debug  : LethalMin] OverrideGhostTextureOffset set to (0.00, 0.00)
[15:31:23.6064190] [Debug  : LethalMin] SetGhostColor set to True
[15:31:23.6064190] [Debug  : LethalMin] DisableRegistration set to False
[15:31:23.6064190] [Debug  : LethalMin] SetColorOnSprout set to True
[15:31:23.6074211] [Debug  : LethalMin] UseOverrideSproutGlowColor set to False
[15:31:23.6074211] [Debug  : LethalMin] OverrideSproutGlowColor set to RGBA(1.000, 1.000, 1.000, 1.000)
[15:31:23.6074211] [Debug  : LethalMin] growSpeeds set to System.Collections.Generic.List`1[System.Single]
[15:31:23.6074211] [Debug  : LethalMin] growAttacks set to System.Collections.Generic.List`1[System.Single]
[15:31:23.6074211] [Debug  : LethalMin] growCarryStrengths set to System.Collections.Generic.List`1[System.Int32]
[15:31:23.6074211] [Debug  : LethalMin] GrowSpeedMultiplier set to 5
[15:31:23.6089265] [Debug  : LethalMin] DefaultSpeed set to 1
[15:31:23.6089265] [Debug  : LethalMin] RunningSpeedMultiplier set to 1.5
[15:31:23.6089265] [Debug  : LethalMin] CarryStrength set to 3
[15:31:23.6089265] [Debug  : LethalMin] ThrowForce set to (15.00, 15.00, 15.00)
[15:31:23.6089265] [Debug  : LethalMin] HazardsResistantTo set to System.Collections.Generic.List`1[PikminHazard]
[15:31:23.6089265] [Debug  : LethalMin] ItemDetectionRange set to 5
[15:31:23.6099334] [Debug  : LethalMin] CanLatchOnToObjects set to True
[15:31:23.6099334] [Debug  : LethalMin] CanJumpOntoObjects set to True
[15:31:23.6099334] [Debug  : LethalMin] CanCarryObjects set to True
[15:31:23.6099334] [Debug  : LethalMin] AttackStrength set to 1
[15:31:23.6099334] [Debug  : LethalMin] AttackRate set to 0.5
[15:31:23.6099334] [Debug  : LethalMin] AttackDistance set to 0.5
[15:31:23.6099334] [Debug  : LethalMin] JumpLatchOnRange set to 5
[15:31:23.6109317] [Debug  : LethalMin] DamageDeltUponDeath set to 0
[15:31:23.6109317] [Debug  : LethalMin] DeathDamageRange set to 0
[15:31:23.6109317] [Debug  : LethalMin] DamageDeltUpLanding set to 0
[15:31:23.6109317] [Debug  : LethalMin] ShakeEndurance set to 0.75
[15:31:23.6109317] [Debug  : LethalMin] SpawnsIndoors set to False
[15:31:23.6109317] [Debug  : LethalMin] SpawnsOutdoors set to False
[15:31:23.6109317] [Debug  : LethalMin] SpawnsAsSprout set to False
[15:31:23.6109317] [Debug  : LethalMin] UsesPikminContainer set to False
[15:31:23.6119327] [Debug  : LethalMin] SpawnAfterDay set to 6
[15:31:23.6119327] [Debug  : LethalMin] MoonSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[15:31:23.6119327] [Debug  : LethalMin] TagSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[15:31:23.6119327] [Debug  : LethalMin] WeatherSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[15:31:23.6129331] [Debug  : LethalMin] InstaEnterOnion set to False
[15:31:23.6129331] [Debug  : LethalMin] UsePresetFormatting set to True
[15:31:23.6139316] [Debug  : LethalMin] HelpfulLevel set to 90%
[15:31:23.6139316] [Debug  : LethalMin] ScientificName set to Pikminidae supravelum
[15:31:23.6139316] [Debug  : LethalMin] piklopediaName set to 
[15:31:23.6139316] [Debug  : LethalMin] MaxGroupSpawnSize set to 3
[15:31:23.6149324] [Info   : LethalMin] Config file generated for Pikmin Type: Glow Pikmin at BepInEx/BepInEx\config\Pikmin\Glow Pikmin.cfg
[15:31:23.6169386] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin/Glow Pikmin"
[15:31:23.6189340] [Info   : LethalMin] Added Custom Script: GlowPikminAI to PikminAI!
[15:31:23.6189340] [Message: LethalMin] Registered Pikmin Type: Glow Pikmin with ID: 2
[15:31:23.6189340] [Message: LethalMin] Registering Pikmin Type: Ice Pikmin
[15:31:23.6189340] [Info   : LethalMin] Generating config file for Pikmin Type: Ice Pikmin
[15:31:23.6199568] [Debug  : LethalMin] PikminPrimaryColor set to RGBA(0.000, 1.000, 1.000, 1.000)
[15:31:23.6199568] [Debug  : LethalMin] PikminSecondaryColor set to RGBA(0.000, 0.502, 0.502, 1.000)
[15:31:23.6199568] [Debug  : LethalMin] Skipping unsupported field type: PikminIcon (UnityEngine.Sprite)
[15:31:23.6199568] [Debug  : LethalMin] Skipping unsupported field type: AnimatedPikminGhostTexture (UnityEngine.Texture2D[])
[15:31:23.6199568] [Debug  : LethalMin] AnimatedPikminGhostFrameHold set to 2
[15:31:23.6209601] [Debug  : LethalMin] OverrideGhostTextureTileing set to (1.00, 1.00)
[15:31:23.6209601] [Debug  : LethalMin] OverrideGhostTextureOffset set to (0.00, 0.00)
[15:31:23.6209601] [Debug  : LethalMin] SetGhostColor set to True
[15:31:23.6209601] [Debug  : LethalMin] DisableRegistration set to False
[15:31:23.6209601] [Debug  : LethalMin] SetColorOnSprout set to True
[15:31:23.6209601] [Debug  : LethalMin] UseOverrideSproutGlowColor set to False
[15:31:23.6209601] [Debug  : LethalMin] OverrideSproutGlowColor set to RGBA(1.000, 1.000, 1.000, 1.000)
[15:31:23.6219570] [Debug  : LethalMin] growSpeeds set to System.Collections.Generic.List`1[System.Single]
[15:31:23.6219570] [Debug  : LethalMin] growAttacks set to System.Collections.Generic.List`1[System.Single]
[15:31:23.6219570] [Debug  : LethalMin] growCarryStrengths set to System.Collections.Generic.List`1[System.Int32]
[15:31:23.6219570] [Debug  : LethalMin] GrowSpeedMultiplier set to 1
[15:31:23.6219570] [Debug  : LethalMin] DefaultSpeed set to 1
[15:31:23.6219570] [Debug  : LethalMin] RunningSpeedMultiplier set to 1.5
[15:31:23.6219570] [Debug  : LethalMin] CarryStrength set to 3
[15:31:23.6229559] [Debug  : LethalMin] ThrowForce set to (15.00, 15.00, 15.00)
[15:31:23.6229559] [Debug  : LethalMin] HazardsResistantTo set to System.Collections.Generic.List`1[PikminHazard]
[15:31:23.6229559] [Debug  : LethalMin] ItemDetectionRange set to 5
[15:31:23.6229559] [Debug  : LethalMin] CanLatchOnToObjects set to True
[15:31:23.6229559] [Debug  : LethalMin] CanJumpOntoObjects set to True
[15:31:23.6229559] [Debug  : LethalMin] CanCarryObjects set to True
[15:31:23.6239593] [Debug  : LethalMin] AttackStrength set to 0.5
[15:31:23.6239593] [Debug  : LethalMin] AttackRate set to 0.5
[15:31:23.6239593] [Debug  : LethalMin] AttackDistance set to 0.5
[15:31:23.6239593] [Debug  : LethalMin] JumpLatchOnRange set to 5
[15:31:23.6239593] [Debug  : LethalMin] DamageDeltUponDeath set to 0
[15:31:23.6250048] [Debug  : LethalMin] DeathDamageRange set to 0
[15:31:23.6250048] [Debug  : LethalMin] DamageDeltUpLanding set to 0
[15:31:23.6250048] [Debug  : LethalMin] ShakeEndurance set to 0.75
[15:31:23.6250048] [Debug  : LethalMin] SpawnsIndoors set to False
[15:31:23.6250048] [Debug  : LethalMin] SpawnsOutdoors set to True
[15:31:23.6250048] [Debug  : LethalMin] SpawnsAsSprout set to True
[15:31:23.6250048] [Debug  : LethalMin] UsesPikminContainer set to False
[15:31:23.6250048] [Debug  : LethalMin] SpawnAfterDay set to 6
[15:31:23.6260056] [Debug  : LethalMin] MoonSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[15:31:23.6260056] [Debug  : LethalMin] TagSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[15:31:23.6260056] [Debug  : LethalMin] WeatherSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[15:31:23.6260056] [Debug  : LethalMin] InstaEnterOnion set to False
[15:31:23.6260056] [Debug  : LethalMin] UsePresetFormatting set to True
[15:31:23.6270030] [Debug  : LethalMin] HelpfulLevel set to 25%
[15:31:23.6270030] [Debug  : LethalMin] ScientificName set to Pikminidae habiglacius
[15:31:23.6270030] [Debug  : LethalMin] piklopediaName set to 
