[20:10:07.2723291] [Debug  : LethalMin] growSpeeds set to System.Collections.Generic.List`1[System.Single]
[20:10:07.2723291] [Debug  : LethalMin] growAttacks set to System.Collections.Generic.List`1[System.Single]
[20:10:07.2723291] [Debug  : LethalMin] growCarryStrengths set to System.Collections.Generic.List`1[System.Int32]
[20:10:07.2723291] [Debug  : LethalMin] GrowSpeedMultiplier set to 1
[20:10:07.2733282] [Debug  : LethalMin] DefaultSpeed set to 1
[20:10:07.2733282] [Debug  : LethalMin] RunningSpeedMultiplier set to 1.5
[20:10:07.2733282] [Debug  : LethalMin] CarryStrength set to 3
[20:10:07.2733282] [Debug  : LethalMin] ThrowForce set to (15.00, 15.00, 15.00)
[20:10:07.2733282] [Debug  : LethalMin] HazardsResistantTo set to System.Collections.Generic.List`1[PikminHazard]
[20:10:07.2733282] [Debug  : LethalMin] ItemDetectionRange set to 5
[20:10:07.2733282] [Debug  : LethalMin] CanLatchOnToObjects set to True
[20:10:07.2743317] [Debug  : LethalMin] CanJumpOntoObjects set to True
[20:10:07.2743317] [Debug  : LethalMin] CanCarryObjects set to True
[20:10:07.2743317] [Debug  : LethalMin] AttackStrength set to 1
[20:10:07.2743317] [Debug  : LethalMin] AttackRate set to 0.5
[20:10:07.2743317] [Debug  : LethalMin] AttackDistance set to 0.5
[20:10:07.2743317] [Debug  : LethalMin] JumpLatchOnRange set to 5
[20:10:07.2743317] [Debug  : LethalMin] DamageDeltUponDeath set to 0
[20:10:07.2743317] [Debug  : LethalMin] DeathDamageRange set to 0
[20:10:07.2743317] [Debug  : LethalMin] DamageDeltUpLanding set to 0
[20:10:07.2743317] [Debug  : LethalMin] ShakeEndurance set to 0.75
[20:10:07.2754918] [Debug  : LethalMin] SpawnsIndoors set to True
[20:10:07.2754918] [Debug  : LethalMin] SpawnsOutdoors set to False
[20:10:07.2754918] [Debug  : LethalMin] SpawnsAsSprout set to False
[20:10:07.2754918] [Debug  : LethalMin] UsesPikminContainer set to False
[20:10:07.2754918] [Debug  : LethalMin] SpawnAfterDay set to -1
[20:10:07.2754918] [Debug  : LethalMin] MoonSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[20:10:07.2754918] [Debug  : LethalMin] TagSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[20:10:07.2754918] [Debug  : LethalMin] WeatherSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[20:10:07.2764911] [Debug  : LethalMin] InstaEnterOnion set to False
[20:10:07.2764911] [Debug  : LethalMin] UsePresetFormatting set to True
[20:10:07.2764911] [Debug  : LethalMin] HelpfulLevel set to 60%
[20:10:07.2764911] [Debug  : LethalMin] ScientificName set to Parasiticus pikminicus
[20:10:07.2764911] [Debug  : LethalMin] piklopediaName set to 
[20:10:07.2764911] [Debug  : LethalMin] MaxGroupSpawnSize set to 3
[20:10:07.2764911] [Info   : LethalMin] Config file generated for Pikmin Type: Bulbmin at BepInEx/BepInEx\config\Pikmin\Bulbmin.cfg
[20:10:07.2784905] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin/Bulbmin"
[20:10:07.2784905] [Message: LethalMin] Registered Pikmin Type: Bulbmin with ID: 1
[20:10:07.2784905] [Message: LethalMin] Registering Pikmin Type: Glow Pikmin
[20:10:07.2784905] [Info   : LethalMin] Generating config file for Pikmin Type: Glow Pikmin
[20:10:07.2849984] [Debug  : LethalMin] PikminPrimaryColor set to RGBA(0.000, 1.000, 0.008, 1.000)
[20:10:07.2849984] [Debug  : LethalMin] PikminSecondaryColor set to RGBA(0.102, 0.565, 0.035, 1.000)
[20:10:07.2849984] [Debug  : LethalMin] Skipping unsupported field type: PikminIcon (UnityEngine.Sprite)
[20:10:07.2849984] [Debug  : LethalMin] Skipping unsupported field type: AnimatedPikminGhostTexture (UnityEngine.Texture2D[])
[20:10:07.2849984] [Debug  : LethalMin] AnimatedPikminGhostFrameHold set to 2
[20:10:07.2849984] [Debug  : LethalMin] OverrideGhostTextureTileing set to (1.00, 1.00)
[20:10:07.2849984] [Debug  : LethalMin] OverrideGhostTextureOffset set to (0.00, 0.00)
[20:10:07.2849984] [Debug  : LethalMin] SetGhostColor set to True
[20:10:07.2860021] [Debug  : LethalMin] DisableRegistration set to False
[20:10:07.2860021] [Debug  : LethalMin] SetColorOnSprout set to True
[20:10:07.2860021] [Debug  : LethalMin] UseOverrideSproutGlowColor set to False
[20:10:07.2860021] [Debug  : LethalMin] OverrideSproutGlowColor set to RGBA(1.000, 1.000, 1.000, 1.000)
[20:10:07.2860021] [Debug  : LethalMin] growSpeeds set to System.Collections.Generic.List`1[System.Single]
[20:10:07.2870018] [Debug  : LethalMin] growAttacks set to System.Collections.Generic.List`1[System.Single]
[20:10:07.2870018] [Debug  : LethalMin] growCarryStrengths set to System.Collections.Generic.List`1[System.Int32]
[20:10:07.2870018] [Debug  : LethalMin] GrowSpeedMultiplier set to 5
[20:10:07.2870018] [Debug  : LethalMin] DefaultSpeed set to 1
[20:10:07.2870018] [Debug  : LethalMin] RunningSpeedMultiplier set to 1.5
[20:10:07.2870018] [Debug  : LethalMin] CarryStrength set to 3
[20:10:07.2870018] [Debug  : LethalMin] ThrowForce set to (15.00, 15.00, 15.00)
[20:10:07.2870018] [Debug  : LethalMin] HazardsResistantTo set to System.Collections.Generic.List`1[PikminHazard]
[20:10:07.2870018] [Debug  : LethalMin] ItemDetectionRange set to 5
[20:10:07.2880064] [Debug  : LethalMin] CanLatchOnToObjects set to True
[20:10:07.2880064] [Debug  : LethalMin] CanJumpOntoObjects set to True
[20:10:07.2880064] [Debug  : LethalMin] CanCarryObjects set to True
[20:10:07.2880064] [Debug  : LethalMin] AttackStrength set to 1
[20:10:07.2880064] [Debug  : LethalMin] AttackRate set to 0.5
[20:10:07.2880064] [Debug  : LethalMin] AttackDistance set to 0.5
[20:10:07.2880064] [Debug  : LethalMin] JumpLatchOnRange set to 5
[20:10:07.2880064] [Debug  : LethalMin] DamageDeltUponDeath set to 0
[20:10:07.2890029] [Debug  : LethalMin] DeathDamageRange set to 0
[20:10:07.2890029] [Debug  : LethalMin] DamageDeltUpLanding set to 0
[20:10:07.2890029] [Debug  : LethalMin] ShakeEndurance set to 0.75
[20:10:07.2890029] [Debug  : LethalMin] SpawnsIndoors set to False
[20:10:07.2890029] [Debug  : LethalMin] SpawnsOutdoors set to False
[20:10:07.2890029] [Debug  : LethalMin] SpawnsAsSprout set to False
[20:10:07.2890029] [Debug  : LethalMin] UsesPikminContainer set to False
[20:10:07.2900019] [Debug  : LethalMin] SpawnAfterDay set to 6
[20:10:07.2900019] [Debug  : LethalMin] MoonSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[20:10:07.2900019] [Debug  : LethalMin] TagSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[20:10:07.2900019] [Debug  : LethalMin] WeatherSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[20:10:07.2900019] [Debug  : LethalMin] InstaEnterOnion set to False
[20:10:07.2900019] [Debug  : LethalMin] UsePresetFormatting set to True
[20:10:07.2900019] [Debug  : LethalMin] HelpfulLevel set to 90%
[20:10:07.2900019] [Debug  : LethalMin] ScientificName set to Pikminidae supravelum
[20:10:07.2910011] [Debug  : LethalMin] piklopediaName set to 
[20:10:07.2910011] [Debug  : LethalMin] MaxGroupSpawnSize set to 3
[20:10:07.2910011] [Info   : LethalMin] Config file generated for Pikmin Type: Glow Pikmin at BepInEx/BepInEx\config\Pikmin\Glow Pikmin.cfg
[20:10:07.2920020] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin/Glow Pikmin"
[20:10:07.2930029] [Info   : LethalMin] Added Custom Script: GlowPikminAI to PikminAI!
[20:10:07.2930029] [Message: LethalMin] Registered Pikmin Type: Glow Pikmin with ID: 2
[20:10:07.2930029] [Message: LethalMin] Registering Pikmin Type: Ice Pikmin
[20:10:07.2930029] [Info   : LethalMin] Generating config file for Pikmin Type: Ice Pikmin
[20:10:07.2985103] [Debug  : LethalMin] PikminPrimaryColor set to RGBA(0.000, 1.000, 1.000, 1.000)
[20:10:07.2985103] [Debug  : LethalMin] PikminSecondaryColor set to RGBA(0.000, 0.502, 0.502, 1.000)
[20:10:07.2985103] [Debug  : LethalMin] Skipping unsupported field type: PikminIcon (UnityEngine.Sprite)
[20:10:07.2985103] [Debug  : LethalMin] Skipping unsupported field type: AnimatedPikminGhostTexture (UnityEngine.Texture2D[])
[20:10:07.2985103] [Debug  : LethalMin] AnimatedPikminGhostFrameHold set to 2
[20:10:07.2985103] [Debug  : LethalMin] OverrideGhostTextureTileing set to (1.00, 1.00)
[20:10:07.2985103] [Debug  : LethalMin] OverrideGhostTextureOffset set to (0.00, 0.00)
[20:10:07.2985103] [Debug  : LethalMin] SetGhostColor set to True
[20:10:07.2985103] [Debug  : LethalMin] DisableRegistration set to False
[20:10:07.2985103] [Debug  : LethalMin] SetColorOnSprout set to True
[20:10:07.2995103] [Debug  : LethalMin] UseOverrideSproutGlowColor set to False
[20:10:07.2995103] [Debug  : LethalMin] OverrideSproutGlowColor set to RGBA(1.000, 1.000, 1.000, 1.000)
[20:10:07.2995103] [Debug  : LethalMin] growSpeeds set to System.Collections.Generic.List`1[System.Single]
[20:10:07.2995103] [Debug  : LethalMin] growAttacks set to System.Collections.Generic.List`1[System.Single]
[20:10:07.2995103] [Debug  : LethalMin] growCarryStrengths set to System.Collections.Generic.List`1[System.Int32]
[20:10:07.2995103] [Debug  : LethalMin] GrowSpeedMultiplier set to 1
[20:10:07.2995103] [Debug  : LethalMin] DefaultSpeed set to 1
[20:10:07.3005107] [Debug  : LethalMin] RunningSpeedMultiplier set to 1.5
[20:10:07.3005107] [Debug  : LethalMin] CarryStrength set to 3
[20:10:07.3005107] [Debug  : LethalMin] ThrowForce set to (15.00, 15.00, 15.00)
[20:10:07.3005107] [Debug  : LethalMin] HazardsResistantTo set to System.Collections.Generic.List`1[PikminHazard]
[20:10:07.3005107] [Debug  : LethalMin] ItemDetectionRange set to 5
[20:10:07.3005107] [Debug  : LethalMin] CanLatchOnToObjects set to True
[20:10:07.3005107] [Debug  : LethalMin] CanJumpOntoObjects set to True
[20:10:07.3005107] [Debug  : LethalMin] CanCarryObjects set to True
[20:10:07.3015121] [Debug  : LethalMin] AttackStrength set to 0.5
[20:10:07.3015121] [Debug  : LethalMin] AttackRate set to 0.5
[20:10:07.3015121] [Debug  : LethalMin] AttackDistance set to 0.5
[20:10:07.3015121] [Debug  : LethalMin] JumpLatchOnRange set to 5
[20:10:07.3015121] [Debug  : LethalMin] DamageDeltUponDeath set to 0
[20:10:07.3015121] [Debug  : LethalMin] DeathDamageRange set to 0
[20:10:07.3025110] [Debug  : LethalMin] DamageDeltUpLanding set to 0
[20:10:07.3025110] [Debug  : LethalMin] ShakeEndurance set to 0.75
[20:10:07.3025110] [Debug  : LethalMin] SpawnsIndoors set to False
[20:10:07.3025110] [Debug  : LethalMin] SpawnsOutdoors set to True
[20:10:07.3025110] [Debug  : LethalMin] SpawnsAsSprout set to True
[20:10:07.3025110] [Debug  : LethalMin] UsesPikminContainer set to False
[20:10:07.3025110] [Debug  : LethalMin] SpawnAfterDay set to 6
[20:10:07.3025110] [Debug  : LethalMin] MoonSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[20:10:07.3035107] [Debug  : LethalMin] TagSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[20:10:07.3035107] [Debug  : LethalMin] WeatherSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[20:10:07.3035107] [Debug  : LethalMin] InstaEnterOnion set to False
[20:10:07.3035107] [Debug  : LethalMin] UsePresetFormatting set to True
[20:10:07.3035107] [Debug  : LethalMin] HelpfulLevel set to 25%
[20:10:07.3045119] [Debug  : LethalMin] ScientificName set to Pikminidae habiglacius
[20:10:07.3045119] [Debug  : LethalMin] piklopediaName set to 
[20:10:07.3050161] [Debug  : LethalMin] MaxGroupSpawnSize set to 3
[20:10:07.3050161] [Info   : LethalMin] Config file generated for Pikmin Type: Ice Pikmin at BepInEx/BepInEx\config\Pikmin\Ice Pikmin.cfg
[20:10:07.3070238] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin/Ice Pikmin"
[20:10:07.3080232] [Info   : LethalMin] Added Custom Script: IcePikminAI to PikminAI!
[20:10:07.3080232] [Message: LethalMin] Registered Pikmin Type: Ice Pikmin with ID: 3
[20:10:07.3080232] [Message: LethalMin] Registering Pikmin Type: Purple Pikmin
[20:10:07.3080232] [Info   : LethalMin] Generating config file for Pikmin Type: Purple Pikmin
[20:10:07.3145269] [Debug  : LethalMin] PikminPrimaryColor set to RGBA(0.502, 0.000, 1.000, 1.000)
[20:10:07.3145269] [Debug  : LethalMin] PikminSecondaryColor set to RGBA(0.243, 0.000, 0.502, 1.000)
[20:10:07.3145269] [Debug  : LethalMin] Skipping unsupported field type: PikminIcon (UnityEngine.Sprite)
[20:10:07.3145269] [Debug  : LethalMin] Skipping unsupported field type: AnimatedPikminGhostTexture (UnityEngine.Texture2D[])
[20:10:07.3145269] [Debug  : LethalMin] AnimatedPikminGhostFrameHold set to 2
[20:10:07.3145269] [Debug  : LethalMin] OverrideGhostTextureTileing set to (1.00, 1.00)
[20:10:07.3155352] [Debug  : LethalMin] OverrideGhostTextureOffset set to (0.00, 0.00)
[20:10:07.3155352] [Debug  : LethalMin] SetGhostColor set to True
[20:10:07.3155352] [Debug  : LethalMin] DisableRegistration set to False
[20:10:07.3155352] [Debug  : LethalMin] SetColorOnSprout set to True
[20:10:07.3155352] [Debug  : LethalMin] UseOverrideSproutGlowColor set to False
[20:10:07.3155352] [Debug  : LethalMin] OverrideSproutGlowColor set to RGBA(1.000, 1.000, 1.000, 1.000)
[20:10:07.3155352] [Debug  : LethalMin] growSpeeds set to System.Collections.Generic.List`1[System.Single]
[20:10:07.3155352] [Debug  : LethalMin] growAttacks set to System.Collections.Generic.List`1[System.Single]
[20:10:07.3165344] [Debug  : LethalMin] growCarryStrengths set to System.Collections.Generic.List`1[System.Int32]
[20:10:07.3165344] [Debug  : LethalMin] GrowSpeedMultiplier set to 1
[20:10:07.3165344] [Debug  : LethalMin] DefaultSpeed set to 1
[20:10:07.3165344] [Debug  : LethalMin] RunningSpeedMultiplier set to 1.25
[20:10:07.3175323] [Debug  : LethalMin] CarryStrength set to 30
[20:10:07.3175323] [Debug  : LethalMin] ThrowForce set to (21.00, 21.00, 21.00)
[20:10:07.3175323] [Debug  : LethalMin] HazardsResistantTo set to System.Collections.Generic.List`1[PikminHazard]
[20:10:07.3175323] [Debug  : LethalMin] ItemDetectionRange set to 5
[20:10:07.3175323] [Debug  : LethalMin] CanLatchOnToObjects set to True
[20:10:07.3175323] [Debug  : LethalMin] CanJumpOntoObjects set to True
[20:10:07.3185313] [Debug  : LethalMin] CanCarryObjects set to True
[20:10:07.3185313] [Debug  : LethalMin] AttackStrength set to 1
