[17:35:53.9491801] [Info   : Unity Log] enemy rush index is -1; current index 3
[17:35:53.9491801] [Info   : Unity Log] Hours: 180 ; Time: 0.1666667 | Enemy #3 'Flowerman' : probability: 2
[17:35:53.9491801] [Info   : Unity Log] enemy rush index is -1; current index 4
[17:35:53.9491801] [Info   : Unity Log] Hours: 180 ; Time: 0.1666667 | Enemy #4 'Blob' : probability: 31
[17:35:53.9491801] [Info   : Unity Log] enemy rush index is -1; current index 5
[17:35:53.9491801] [Info   : Unity Log] Hours: 180 ; Time: 0.1666667 | Enemy #5 'Spring' : probability: 33
[17:35:53.9491801] [Info   : Unity Log] enemy rush index is -1; current index 6
[17:35:53.9501811] [Info   : Unity Log] Hours: 180 ; Time: 0.1666667 | Enemy #6 'Puffer' : probability: 9
[17:35:53.9501811] [Info   : Unity Log] enemy rush index is -1; current index 7
[17:35:53.9501811] [Info   : Unity Log] Hours: 180 ; Time: 0.1666667 | Enemy #7 'Nutcracker' : probability: 8
[17:35:53.9501811] [Info   : Unity Log] enemy rush index is -1; current index 8
[17:35:53.9501811] [Info   : Unity Log] Hours: 180 ; Time: 0.1666667 | Enemy #8 'Maneater' : probability: 3
[17:35:53.9501811] [Info   : Unity Log] enemy rush index is -1; current index 9
[17:35:53.9501811] [Info   : Unity Log] Hours: 180 ; Time: 0.1666667 | Enemy #9 'Stingray' : probability: 16
[17:35:53.9501811] [Info   : Unity Log] enemy rush index is -1; current index 10
[17:35:53.9501811] [Info   : Unity Log] Hours: 180 ; Time: 0.1666667 | Enemy #10 'Masked' : probability: 34
[17:35:53.9501811] [Info   : Unity Log] enemy rush index is -1; current index 11
[17:35:53.9501811] [Info   : Unity Log] Hours: 180 ; Time: 0.1666667 | Enemy #11 'Jester' : probability: 3
[17:35:53.9501811] [Info   : Unity Log] enemy rush index is -1; current index 12
[17:35:53.9501811] [Info   : Unity Log] Hours: 180 ; Time: 0.1666667 | Enemy #12 'Butler' : probability: 16
[17:35:53.9501811] [Info   : Unity Log] enemy rush index is -1; current index 13
[17:35:53.9501811] [Info   : Unity Log] Hours: 180 ; Time: 0.1666667 | Enemy #13 'Clay Surgeon' : probability: 6
[17:35:53.9501811] [Info   : Unity Log] enemy rush index is -1; current index 14
[17:35:53.9501811] [Info   : Unity Log] Hours: 180 ; Time: 0.1666667 | Enemy #14 'Girl' : probability: 0
[17:35:53.9501811] [Info   : Unity Log] enemy rush index is -1; current index 15
