[08:09:05.3347524] [Debug  : LethalMin] OverrideSproutGlowColor set to RGBA(0.220, 1.000, 0.000, 1.000)
[08:09:05.3347524] [Debug  : LethalMin] growSpeeds set to System.Collections.Generic.List`1[System.Single]
[08:09:05.3347524] [Debug  : LethalMin] growAttacks set to System.Collections.Generic.List`1[System.Single]
[08:09:05.3347524] [Debug  : LethalMin] growCarryStrengths set to System.Collections.Generic.List`1[System.Int32]
[08:09:05.3347524] [Debug  : LethalMin] GrowSpeedMultiplier set to 1
[08:09:05.3347524] [Debug  : LethalMin] DefaultSpeed set to 1
[08:09:05.3357572] [Debug  : LethalMin] RunningSpeedMultiplier set to 1.5
[08:09:05.3357572] [Debug  : LethalMin] CarryStrength set to 4
[08:09:05.3357572] [Debug  : LethalMin] ThrowForce set to (15.00, 15.00, 15.00)
[08:09:05.3357572] [Debug  : LethalMin] HazardsResistantTo set to System.Collections.Generic.List`1[PikminHazard]
[08:09:05.3357572] [Debug  : LethalMin] ItemDetectionRange set to 5
[08:09:05.3357572] [Debug  : LethalMin] CanLatchOnToObjects set to True
[08:09:05.3357572] [Debug  : LethalMin] CanJumpOntoObjects set to True
[08:09:05.3357572] [Debug  : LethalMin] CanCarryObjects set to True
[08:09:05.3357572] [Debug  : LethalMin] AttackStrength set to 1
[08:09:05.3357572] [Debug  : LethalMin] AttackRate set to 0.5
[08:09:05.3357572] [Debug  : LethalMin] AttackDistance set to 0.5
[08:09:05.3357572] [Debug  : LethalMin] JumpLatchOnRange set to 5
[08:09:05.3372602] [Debug  : LethalMin] DamageDeltUponDeath set to 0
[08:09:05.3372602] [Debug  : LethalMin] DeathDamageRange set to 0
[08:09:05.3372602] [Debug  : LethalMin] DamageDeltUpLanding set to 0
[08:09:05.3372602] [Debug  : LethalMin] ShakeEndurance set to 0.75
[08:09:05.3372602] [Debug  : LethalMin] SpawnsIndoors set to True
[08:09:05.3372602] [Debug  : LethalMin] SpawnsOutdoors set to False
[08:09:05.3372602] [Debug  : LethalMin] SpawnsAsSprout set to False
[08:09:05.3382651] [Debug  : LethalMin] UsesPikminContainer set to False
[08:09:05.3382651] [Debug  : LethalMin] SpawnAfterDay set to -1
[08:09:05.3382651] [Debug  : LethalMin] MoonSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
