[11:40:45.0768630] [Debug  : LethalMin] growSpeeds set to System.Collections.Generic.List`1[System.Single]
[11:40:45.0768630] [Debug  : LethalMin] growAttacks set to System.Collections.Generic.List`1[System.Single]
[11:40:45.0768630] [Debug  : LethalMin] growCarryStrengths set to System.Collections.Generic.List`1[System.Int32]
[11:40:45.0768630] [Debug  : LethalMin] GrowSpeedMultiplier set to 1
[11:40:45.0778635] [Debug  : LethalMin] DefaultSpeed set to 1
[11:40:45.0778635] [Debug  : LethalMin] RunningSpeedMultiplier set to 1.5
[11:40:45.0778635] [Debug  : LethalMin] CarryStrength set to 3
[11:40:45.0778635] [Debug  : LethalMin] ThrowForce set to (15.00, 15.00, 15.00)
[11:40:45.0778635] [Debug  : LethalMin] HazardsResistantTo set to System.Collections.Generic.List`1[PikminHazard]
[11:40:45.0778635] [Debug  : LethalMin] ItemDetectionRange set to 5
[11:40:45.0788666] [Debug  : LethalMin] CanLatchOnToObjects set to True
[11:40:45.0788666] [Debug  : LethalMin] CanJumpOntoObjects set to True
[11:40:45.0788666] [Debug  : LethalMin] CanCarryObjects set to True
[11:40:45.0788666] [Debug  : LethalMin] AttackStrength set to 1
[11:40:45.0788666] [Debug  : LethalMin] AttackRate set to 0.5
[11:40:45.0788666] [Debug  : LethalMin] AttackDistance set to 0.5
[11:40:45.0798640] [Debug  : LethalMin] JumpLatchOnRange set to 5
[11:40:45.0798640] [Debug  : LethalMin] DamageDeltUponDeath set to 0
[11:40:45.0798640] [Debug  : LethalMin] DeathDamageRange set to 0
[11:40:45.0798640] [Debug  : LethalMin] DamageDeltUpLanding set to 0
[11:40:45.0798640] [Debug  : LethalMin] ShakeEndurance set to 0.75
[11:40:45.0808647] [Debug  : LethalMin] SpawnsIndoors set to True
[11:40:45.0808647] [Debug  : LethalMin] SpawnsOutdoors set to False
[11:40:45.0808647] [Debug  : LethalMin] SpawnsAsSprout set to False
[11:40:45.0808647] [Debug  : LethalMin] UsesPikminContainer set to False
[11:40:45.0808647] [Debug  : LethalMin] SpawnAfterDay set to -1
[11:40:45.0808647] [Debug  : LethalMin] MoonSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[11:40:45.0808647] [Debug  : LethalMin] TagSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[11:40:45.0818658] [Debug  : LethalMin] WeatherSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[11:40:45.0818658] [Debug  : LethalMin] InstaEnterOnion set to False
[11:40:45.0818658] [Debug  : LethalMin] UsePresetFormatting set to True
[11:40:45.0818658] [Debug  : LethalMin] HelpfulLevel set to 60%
[11:40:45.0818658] [Debug  : LethalMin] ScientificName set to Parasiticus pikminicus
[11:40:45.0828643] [Debug  : LethalMin] piklopediaName set to 
[11:40:45.0828643] [Debug  : LethalMin] MaxGroupSpawnSize set to 3
[11:40:45.0828643] [Info   : LethalMin] Config file generated for Pikmin Type: Bulbmin at BepInEx/BepInEx\config\Pikmin\Bulbmin.cfg
[11:40:45.0848655] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin/Bulbmin"
[11:40:45.0848655] [Message: LethalMin] Registered Pikmin Type: Bulbmin with ID: 1
[11:40:45.0848655] [Message: LethalMin] Registering Pikmin Type: Glow Pikmin
[11:40:45.0848655] [Info   : LethalMin] Generating config file for Pikmin Type: Glow Pikmin
[11:40:45.0909864] [Debug  : LethalMin] PikminPrimaryColor set to RGBA(0.000, 1.000, 0.008, 1.000)
[11:40:45.0909864] [Debug  : LethalMin] PikminSecondaryColor set to RGBA(0.102, 0.565, 0.035, 1.000)
[11:40:45.0909864] [Debug  : LethalMin] Skipping unsupported field type: PikminIcon (UnityEngine.Sprite)
[11:40:45.0909864] [Debug  : LethalMin] Skipping unsupported field type: AnimatedPikminGhostTexture (UnityEngine.Texture2D[])
[11:40:45.0919865] [Debug  : LethalMin] AnimatedPikminGhostFrameHold set to 2
[11:40:45.0919865] [Debug  : LethalMin] OverrideGhostTextureTileing set to (1.00, 1.00)
[11:40:45.0919865] [Debug  : LethalMin] OverrideGhostTextureOffset set to (0.00, 0.00)
[11:40:45.0919865] [Debug  : LethalMin] SetGhostColor set to True
[11:40:45.0919865] [Debug  : LethalMin] DisableRegistration set to False
[11:40:45.0929865] [Debug  : LethalMin] SetColorOnSprout set to True
[11:40:45.0929865] [Debug  : LethalMin] UseOverrideSproutGlowColor set to False
[11:40:45.0929865] [Debug  : LethalMin] OverrideSproutGlowColor set to RGBA(1.000, 1.000, 1.000, 1.000)
[11:40:45.0929865] [Debug  : LethalMin] growSpeeds set to System.Collections.Generic.List`1[System.Single]
[11:40:45.0929865] [Debug  : LethalMin] growAttacks set to System.Collections.Generic.List`1[System.Single]
[11:40:45.0929865] [Debug  : LethalMin] growCarryStrengths set to System.Collections.Generic.List`1[System.Int32]
[11:40:45.0929865] [Debug  : LethalMin] GrowSpeedMultiplier set to 5
[11:40:45.0944898] [Debug  : LethalMin] DefaultSpeed set to 1
[11:40:45.0944898] [Debug  : LethalMin] RunningSpeedMultiplier set to 1.5
[11:40:45.0944898] [Debug  : LethalMin] CarryStrength set to 3
[11:40:45.0944898] [Debug  : LethalMin] ThrowForce set to (15.00, 15.00, 15.00)
[11:40:45.0944898] [Debug  : LethalMin] HazardsResistantTo set to System.Collections.Generic.List`1[PikminHazard]
[11:40:45.0954939] [Debug  : LethalMin] ItemDetectionRange set to 5
[11:40:45.0954939] [Debug  : LethalMin] CanLatchOnToObjects set to True
[11:40:45.0954939] [Debug  : LethalMin] CanJumpOntoObjects set to True
[11:40:45.0954939] [Debug  : LethalMin] CanCarryObjects set to True
[11:40:45.0954939] [Debug  : LethalMin] AttackStrength set to 1
[11:40:45.0954939] [Debug  : LethalMin] AttackRate set to 0.5
[11:40:45.0964943] [Debug  : LethalMin] AttackDistance set to 0.5
[11:40:45.0964943] [Debug  : LethalMin] JumpLatchOnRange set to 5
[11:40:45.0964943] [Debug  : LethalMin] DamageDeltUponDeath set to 0
[11:40:45.0964943] [Debug  : LethalMin] DeathDamageRange set to 0
[11:40:45.0964943] [Debug  : LethalMin] DamageDeltUpLanding set to 0
[11:40:45.0964943] [Debug  : LethalMin] ShakeEndurance set to 0.75
[11:40:45.0964943] [Debug  : LethalMin] SpawnsIndoors set to False
[11:40:45.0974939] [Debug  : LethalMin] SpawnsOutdoors set to False
[11:40:45.0974939] [Debug  : LethalMin] SpawnsAsSprout set to False
[11:40:45.0974939] [Debug  : LethalMin] UsesPikminContainer set to False
[11:40:45.0984946] [Debug  : LethalMin] SpawnAfterDay set to 6
[11:40:45.0984946] [Debug  : LethalMin] MoonSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[11:40:45.0984946] [Debug  : LethalMin] TagSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[11:40:45.0984946] [Debug  : LethalMin] WeatherSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[11:40:45.0994948] [Debug  : LethalMin] InstaEnterOnion set to False
[11:40:45.0994948] [Debug  : LethalMin] UsePresetFormatting set to True
[11:40:45.0994948] [Debug  : LethalMin] HelpfulLevel set to 90%
[11:40:45.0994948] [Debug  : LethalMin] ScientificName set to Pikminidae supravelum
[11:40:45.0994948] [Debug  : LethalMin] piklopediaName set to 
[11:40:45.1004952] [Debug  : LethalMin] MaxGroupSpawnSize set to 3
[11:40:45.1004952] [Info   : LethalMin] Config file generated for Pikmin Type: Glow Pikmin at BepInEx/BepInEx\config\Pikmin\Glow Pikmin.cfg
[11:40:45.1024955] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin/Glow Pikmin"
[11:40:45.1034940] [Info   : LethalMin] Added Custom Script: GlowPikminAI to PikminAI!
[11:40:45.1044933] [Message: LethalMin] Registered Pikmin Type: Glow Pikmin with ID: 2
[11:40:45.1044933] [Message: LethalMin] Registering Pikmin Type: Ice Pikmin
[11:40:45.1044933] [Info   : LethalMin] Generating config file for Pikmin Type: Ice Pikmin
[11:40:45.1100007] [Debug  : LethalMin] PikminPrimaryColor set to RGBA(0.000, 1.000, 1.000, 1.000)
[11:40:45.1100007] [Debug  : LethalMin] PikminSecondaryColor set to RGBA(0.000, 0.502, 0.502, 1.000)
[11:40:45.1100007] [Debug  : LethalMin] Skipping unsupported field type: PikminIcon (UnityEngine.Sprite)
[11:40:45.1109993] [Debug  : LethalMin] Skipping unsupported field type: AnimatedPikminGhostTexture (UnityEngine.Texture2D[])
[11:40:45.1109993] [Debug  : LethalMin] AnimatedPikminGhostFrameHold set to 2
[11:40:45.1109993] [Debug  : LethalMin] OverrideGhostTextureTileing set to (1.00, 1.00)
[11:40:45.1109993] [Debug  : LethalMin] OverrideGhostTextureOffset set to (0.00, 0.00)
[11:40:45.1109993] [Debug  : LethalMin] SetGhostColor set to True
[11:40:45.1119999] [Debug  : LethalMin] DisableRegistration set to False
[11:40:45.1119999] [Debug  : LethalMin] SetColorOnSprout set to True
[11:40:45.1119999] [Debug  : LethalMin] UseOverrideSproutGlowColor set to False
[11:40:45.1119999] [Debug  : LethalMin] OverrideSproutGlowColor set to RGBA(1.000, 1.000, 1.000, 1.000)
[11:40:45.1129996] [Debug  : LethalMin] growSpeeds set to System.Collections.Generic.List`1[System.Single]
[11:40:45.1129996] [Debug  : LethalMin] growAttacks set to System.Collections.Generic.List`1[System.Single]
[11:40:45.1129996] [Debug  : LethalMin] growCarryStrengths set to System.Collections.Generic.List`1[System.Int32]
