[19:02:42.0429463] [Warning:ainavt.lc.lethalconfig] Ignoring duplicated config "Matty's Fixes/Vanilla/Radar-booster"
[19:02:42.0429463] [Warning:ainavt.lc.lethalconfig] Ignoring duplicated config "Matty's Fixes/Vanilla/Shovel"
[19:02:42.0429463] [Warning:ainavt.lc.lethalconfig] Ignoring duplicated config "Matty's Fixes/Vanilla/Spray paint"
[19:02:42.0439467] [Warning:ainavt.lc.lethalconfig] Ignoring duplicated config "Matty's Fixes/Vanilla/Stun grenade"
[19:02:42.0439467] [Warning:ainavt.lc.lethalconfig] Ignoring duplicated config "Matty's Fixes/Vanilla/TZP-Inhalant"
[19:02:42.0439467] [Warning:ainavt.lc.lethalconfig] Ignoring duplicated config "Matty's Fixes/Vanilla/Walkie-talkie"
[19:02:42.0439467] [Warning:ainavt.lc.lethalconfig] Ignoring duplicated config "Matty's Fixes/Vanilla/Weed killer"
[19:02:42.0439467] [Warning:ainavt.lc.lethalconfig] Ignoring duplicated config "Matty's Fixes/Vanilla/Zap gun"
[19:02:42.0439467] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/DawnLib|unknown_lib/Train"
[19:02:42.0439467] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/DawnLib|unknown_lib/Redstone Torch"
[19:02:42.0439467] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/DawnLib|unknown_lib/giant poster"
[19:02:42.0439467] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|LethalCompanyHarpGhost/Harp"
[19:02:42.0449468] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|LethalCompanyHarpGhost/Bagpipes"
[19:02:42.0449468] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|LethalCompanyHarpGhost/Ghost Plushie"
[19:02:42.0449468] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|MonsterPlushies/Bracken Plushie"
[19:02:42.0449468] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|MonsterPlushies/Coil head Plushie"
[19:02:42.0449468] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|MonsterPlushies/Comedy mask Plushie"
[19:02:42.0449468] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|MonsterPlushies/Tragedy mask Plushie"
