guid,instance_count,observed_name_overrides,resolution_status,checkpoint,asset_kind,asset_path,asset_git_blob,topology_proven
"a379e881ad0daa24896988eaf1374e43","5","TallCactus | TallCactus (3) | TallCactus (1) | TallCactus (2) | TallCactus (4)","SOURCE_PATH_UNRESOLVED","","","","","false"
"a41ab2ae1c6dd3045a2405e041bf3ed7","8","BrokenPeacekeeper (2) | BrokenPeacekeeper (3) | BrokenPeacekeeper (7) | BrokenPeacekeeper | BrokenPeacekeeper (4) | BrokenPeacekeeper (1) | BrokenPeacekeeper (6) | BrokenPeacekeeper (5)","SOURCE_PATH_UNRESOLVED","","","","","false"
"a4f693f6ad4579e49af00e1f44362006","7","OxydeRock.003 (2) | OxydeRock.003 (4) | OxydeRock.003 (6) | OxydeRock.003 (1) | OxydeRock.003 (3) | OxydeRock.003 (7) | OxydeRock.003 (5)","SOURCE_PATH_UNRESOLVED","","","","","false"
"a5099fef93132d0459a980f2d74ef514","7","SmallCandle | SmallCandle (1) | SmallCandle (3) | SmallCandle (4) | SmallCandle (5) | SmallCandle (2)","SOURCE_PATH_UNRESOLVED","","","","","false"
"a5da1f10b27a91e4cb593944692636c1","3","HeadPhones | HeadPhones (1)","SOURCE_PATH_UNRESOLVED","","","","","false"
"a6b489b179353c348a4cf5faf62328f5","7","BooksBox (2) | BooksBox | BooksBox (4) | BooksBox (1) | BooksBox (3) | BooksBox (5)","SOURCE_PATH_UNRESOLVED","","","","","false"
"a80308eb2adefe149ad85a16a562dcb2","1","CraneNetting | Crane","SOURCE_PATH_RESOLVED","C3E2C","UNITY_PREFAB_YAML","CodeRebirthUnityProject/Assets/LethalCompany/Mods/plugins/CodeRebirth/Moons/Oxyde/Prefabs/Structures/Crane/Crane.prefab","6cbc157667149cc8b3abacbd84d1f4b4152b73d6","false"
"aceb20de6d87df1469b01cbd441bdef2","56","DecoContainerBlue (12) | DecoContainerBlue (6) | DecoContainerBlue (1) | DecoContainerBlue (8) | DecoContainerBlue (7) | DecoContainerBlue (4) | DecoContainerBlue (14) | DecoContainerBlue | DecoContainerBlue (2) | DecoContainerBlue (10) | DecoContainerBlue (5) | DecoContainerBlue (3) | DecoContainerBlue (9) | DecoContainerBlue (11) | DecoContainerBlue (13)","SOURCE_PATH_UNRESOLVED","","","","","false"
"ad51a56e304361944bc718afe1abdaf0","4","Guardsman.009 | Guardsman.009 (2) | Guardsman.009 (1) | Guardsman.009 (3)","SOURCE_PATH_UNRESOLVED","","","","","false"
"ae2c7bcb8a196ca4691ae14adb8b25ca","3","ItemSpawnRare (11) | ItemSpawnRare (9) | ItemSpawnRare (10)","SOURCE_PATH_UNRESOLVED","","","","","false"
"aeb66877acaf7c04ab4e6232b83d2be5","4","OxydeRock.001 (10) | OxydeRock.001 | OxydeRock.001 (9)","SOURCE_PATH_UNRESOLVED","","","","","false"
"af0fe2d3a5f2eef4ab4770e94384b090","1","VetChallengesShip","SOURCE_PATH_RESOLVED","C3E2A","UNITY_PREFAB_YAML","CodeRebirthUnityProject/Assets/LethalCompany/Mods/plugins/CodeRebirth/Moons/Oxyde/Prefabs/VetChallenges/VetChallengesShip.prefab","b93ff7d68fad45e229143c2b1af5b8f70a7fb3b0","false"
"af265f98af0ecad43969122d24a96f95","50","DecoContainerRed (4) | DecoContainerRed (8) | DecoContainerRed (9) | DecoContainerRed (3) | DecoContainerRed (6) | DecoContainerRed | DecoContainerRed (15) | DecoContainerRed (10) | DecoContainerRed (7) | DecoContainerRed (5) | DecoContainerRed (2) | DecoContainerRed (11) | DecoContainerRed (1) | DecoContainerRed (14) | DecoContainerRed (13) | DecoContainerRed (16) | DecoContainerRed (12)","SOURCE_PATH_UNRESOLVED","","","","","false"
"b0656b0726215ac418aba9449f831946","1","GuardsmanPhoto","SOURCE_PATH_UNRESOLVED","","","","","false"
"b0d281e8871561241853dfbe1817fd4c","4","UpsidedownBat (1) | UpsidedownBat (2) | UpsidedownBat","SOURCE_PATH_UNRESOLVED","","","","","false"
"b11f30c1d4894044981bc42bcdd00304","3","Plank | Plank (1) | Plank (2)","SOURCE_PATH_UNRESOLVED","","","","","false"
"b13d078a004f5124ab24feecaaa76776","10","BrokenJanitor (2) | BrokenJanitor (5) | BrokenJanitor (1) | BrokenJanitor | BrokenJanitor (7) | BrokenJanitor (6) | BrokenJanitor (8) | BrokenJanitor (4) | BrokenJanitor (3) | BrokenJanitor (9)","SOURCE_PATH_UNRESOLVED","","","","","false"
