[16:34:56.7929149] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Interract thigny (UnityEngine.GameObject)
[16:34:56.7929149] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Cube (UnityEngine.GameObject)
[16:34:56.7929149] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: EntranceTeleportA (UnityEngine.GameObject)
[16:34:56.7929149] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Cube (UnityEngine.GameObject)
[16:34:56.7929149] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Interract thigny (UnityEngine.GameObject)
[16:34:56.7929149] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Interract thigny (UnityEngine.GameObject)
[16:34:56.7929149] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Interract thigny (UnityEngine.GameObject)
[16:34:56.7929149] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Interract thigny (UnityEngine.GameObject)
[16:34:56.7929149] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Door Interact (1) (UnityEngine.GameObject)
[16:34:56.7929149] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Interract thigny (UnityEngine.GameObject)
[16:34:56.7929149] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Interract thigny (UnityEngine.GameObject)
[16:34:56.7929149] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Door Interact (2) (UnityEngine.GameObject)
[16:34:56.7929149] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Interract thigny (UnityEngine.GameObject)
[16:34:56.7929149] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Interract thigny (UnityEngine.GameObject)
[16:34:56.7929149] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Trigger (UnityEngine.GameObject)
[16:34:56.7929149] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: HoardingBugEggs(Clone) (UnityEngine.GameObject)
[16:34:56.7929149] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: DataPC(Clone) (UnityEngine.GameObject)
[16:34:56.7929149] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Pentagram(Clone) (UnityEngine.GameObject)
[16:34:56.7929149] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: SerialDisplay (UnityEngine.GameObject)
[16:34:56.7929149] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: RedTrigger (UnityEngine.GameObject)
[16:34:56.7929149] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: RedTrigger (UnityEngine.GameObject)
[16:34:56.7939143] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: RedTrigger (UnityEngine.GameObject)
[16:34:56.7939143] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: RedTrigger (UnityEngine.GameObject)
[16:34:56.7939143] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: GreenTrigger (UnityEngine.GameObject)
[16:34:56.7939143] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: GreenTrigger (UnityEngine.GameObject)
[16:34:56.7939143] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: GreenTrigger (UnityEngine.GameObject)
[16:34:56.7939143] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: GreenTrigger (UnityEngine.GameObject)
[16:34:56.7939143] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: BlueTrigger (UnityEngine.GameObject)
[16:34:56.7939143] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: BlueTrigger (UnityEngine.GameObject)
[16:34:56.7939143] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: BlueTrigger (UnityEngine.GameObject)
[16:34:56.7939143] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: BlueTrigger (UnityEngine.GameObject)
[16:34:56.7939143] [Debug  :Matty's Fixes] LethalLevelLoader/ImmersiveScraps/Top hat(366) needs to compute vertical offset - scheduled
[16:34:56.7959141] [Info   :LethalPerformance.Patcher] Saved 1 config(s)
[16:34:56.8360523] [Debug  :Matty's Fixes] LethalLevelLoader/ImmersiveScraps/Broken engine(368) needs to compute vertical offset - scheduled
[16:34:56.8560930] [Debug  :Matty's Fixes] LethalLevelLoader/CodeRebirth/Violin(369) needs to compute vertical offset - scheduled
[16:34:56.8736187] [Debug  :Matty's Fixes] LethalLevelLoader/ImmersiveScraps/Beer can(370) needs to compute vertical offset - scheduled
[16:34:56.8920745] [Debug  :Matty's Fixes] DawnLib/lethalcompany/Big screw(371) needs to compute vertical offset - scheduled
[16:34:56.9136604] [Debug  :Matty's Fixes] LethalLib/PremiumScraps/El Gazpacho(372) needs to compute vertical offset - scheduled
[16:34:56.9341812] [Debug  :Matty's Fixes] LethalLevelLoader/CodeRebirth/Recorder(373) needs to compute vertical offset - scheduled
[16:34:56.9540277] [Debug  :Matty's Fixes] LethalLevelLoader/ImmersiveScraps/Vent(374) needs to compute vertical offset - scheduled
[16:34:56.9725520] [Debug  :Matty's Fixes] LethalLevelLoader/Lethalthings/Hamis Plush(375) needs to compute vertical offset - scheduled
[16:34:56.9900875] [Debug  :Matty's Fixes] LethalLevelLoader/ImmersiveScraps/Fire extinguisher(376) needs to compute vertical offset - scheduled
[16:34:57.0076092] [Debug  :Matty's Fixes] LethalLib/PremiumScraps/Chocobo(377) needs to compute vertical offset - scheduled
[16:34:57.0276341] [Debug  :Matty's Fixes] LethalLevelLoader/ImmersiveScraps/IClock(378) needs to compute vertical offset - scheduled
[16:34:57.0456585] [Debug  :Matty's Fixes] LethalLevelLoader/ImmersiveScraps/Wheel(379) needs to compute vertical offset - scheduled
[16:34:57.0646972] [Debug  :Matty's Fixes] LethalLib/PremiumScraps/Airhorn(380) needs to compute vertical offset - scheduled
[16:34:57.0867268] [Debug  :Matty's Fixes] Vanilla/Cookie pan(381) needs to compute vertical offset - scheduled
[16:34:57.1060066] [Debug  :Matty's Fixes] LethalLevelLoader/CodeRebirth/Accordion(382) needs to compute vertical offset - scheduled
[16:34:57.1245287] [Debug  :Matty's Fixes] Unknown/Medic Bag(386) needs to compute vertical offset - scheduled
[16:34:57.1435536] [Debug  :Matty's Fixes] Unknown/Medic Bag(387) needs to compute vertical offset - scheduled
[16:34:57.1615965] [Debug  :Matty's Fixes] Unknown/Medic Bag(388) needs to compute vertical offset - scheduled
[16:34:57.1798950] [Debug  :Matty's Fixes] LethalLib/MoreShipUpgrades/Lost Scavenger(389) needs to compute vertical offset - scheduled
[16:34:57.1977545] [Debug  :Matty's Fixes] LethalLib/MoreShipUpgrades/Hoarding Bug Eggs(390) needs to compute vertical offset - scheduled
[16:34:57.1977545] [Warning: LethalMin] Item HoardingBugEggs(Clone) is not valid for Pikmin! Skipping...
[16:34:57.4156526] [Debug  :Matty's Fixes] LethalLib/MoreShipUpgrades/Data PC(391) needs to compute vertical offset - scheduled
[16:34:57.4156526] [Warning: LethalMin] Item DataPC(Clone) is not valid for Pikmin! Skipping...
[16:34:57.4388292] [Debug  :Matty's Fixes] LethalLib/MoreShipUpgrades/Heart(392) needs to compute vertical offset - scheduled
[16:34:57.5017556] [Debug  :Matty's Fixes] LethalLib/MoreShipUpgrades/Heart(393) needs to compute vertical offset - scheduled
[16:34:57.5237784] [Debug  :Matty's Fixes] LethalLib/MoreShipUpgrades/Heart(394) needs to compute vertical offset - scheduled
[16:34:57.5415874] [Debug  :Matty's Fixes] LethalLib/MoreShipUpgrades/Crucifix(395) needs to compute vertical offset - scheduled
[16:34:57.5675444] [Debug  :Matty's Fixes] LethalLib/MoreShipUpgrades/Crucifix(396) needs to compute vertical offset - scheduled
[16:34:57.5870742] [Debug  :Matty's Fixes] LethalLib/MoreShipUpgrades/Crucifix(397) needs to compute vertical offset - scheduled
[16:34:57.6051231] [Debug  :Matty's Fixes] LethalLib/MoreShipUpgrades/Candelabra(398) needs to compute vertical offset - scheduled
