[17:07:55.6595793] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Circuit Bees Kill Pikmin"
[17:07:55.6605788] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Maneater Bite Cooldown"
[17:07:55.6625788] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Maneater Bite Limit"
[17:07:55.6630817] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Maneater Allow Carry"
[17:07:55.6645845] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Maneater Attack As Baby"
[17:07:55.6665883] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Old Bird Grab Limit"
[17:07:55.6675884] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Old Bird Grabs Pikmin"
[17:07:55.6685883] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Forest Keeper Grab Limit"
[17:07:55.6695885] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Forest Keeper Grabs Pikmin"
[17:07:55.6715883] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Jester Bite Cooldown"
[17:07:55.6730925] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Jester Bite Limit"
[17:07:55.6750979] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Butler Stab Cooldown"
[17:07:55.6760983] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Butler Stab Limit"
[17:07:55.6780967] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Baboon Hawk Bite Cooldown"
[17:07:55.6790982] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Feiopar Scratches Pikmin"
[17:07:55.6800982] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Masked Player Enemy Convert Pikmin"
[17:07:55.6810984] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Puffer Can Poison Pikmin"
[17:07:55.6826040] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Company Grabs Pikmin"
[17:07:55.6836097] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Company Hears Pikmin"
[17:07:55.6856258] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Backwater Gunkfish Carriers Trigger Spit"
[17:07:55.6866319] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Backwater Gunkfish Spit Trigger Carry Strength"
[17:07:55.6886311] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Backwater Gunkfish Slime Makes Pikmin Slip"
[17:07:55.6906309] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Puffmin Behavior/Turn To Normal On Death"
[17:07:55.6951410] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/HUD Layout Preset"
[17:07:55.6966441] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Pikmin Selection Position"
[17:07:55.6976480] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Pikmin Selection Rotation"
[17:07:55.6996475] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Pikmin Selection Scale"
[17:07:55.7006482] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Pikmin Selection Alpha"
[17:07:55.7016478] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Enable Current Slot"
[17:07:55.7031508] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Enable Next Slot"
[17:07:55.7051585] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Enable Previous Slot"
[17:07:55.7061578] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Enable Carousel Effect"
[17:07:55.7071576] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Pikmin Counter Position"
[17:07:55.7091575] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Pikmin Counter Rotation"
[17:07:55.7101577] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Pikmin Counter Scale"
[17:07:55.7111575] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Pikmin Counter Alpha Active"
[17:07:55.7126607] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Pikmin Counter Alpha Idle"
[17:07:55.7136644] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Enable Pikmin In Existence Counter"
[17:07:55.7151673] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Enable Pikmin In Squad Counter"
[17:07:55.7161707] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Enable Pikmin In Field Counter"
[17:07:55.7181707] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Hide Selected When Scan Notification"
[17:07:55.7191711] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Dont Update Hud Configs"
[17:07:55.7201708] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Grayout Buttons In Onion HUD"
[17:07:55.7211715] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Items/Whistle Price"
[17:07:55.7236790] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Items/Ship Onion Price"
[17:07:55.7246791] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Items/Tricknoll Price"
[17:07:55.7256824] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Items/PluckaPhone Price"
[17:07:55.7266822] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Items/Ship Whistle Price"
[17:07:55.7286820] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Items/Is Whistle Conductive"
[17:07:55.7296825] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Glow Pikmin/Activate Time"
[17:07:55.7306821] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Glow Pikmin/Activate Distance"
[17:07:55.7326821] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Glow Pikmin/Spawn Chance"
[17:07:55.7341882] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Glow Pikmin/Spawn After Days"
[17:07:55.7351914] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Glow Pikmin/Odds To Turn Into Seed"
[17:07:55.7361913] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Glow Pikmin/Useable At Company"
[17:07:55.7381915] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LethalMon/Attack Own Tamed Enemies"
[17:07:55.7391975] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LethalMon/Attack Others Tamed Enemies"
[17:07:55.7401924] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LC-Office/Allow Metal Detector To Zap"
[17:07:55.7411933] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Zeranos/Add NavLink to the ship on Zeranos"
