[12:20:04.1150768] [Debug  : LethalMin] OverrideSproutGlowColor set to RGBA(0.220, 1.000, 0.000, 1.000)
[12:20:04.1150768] [Debug  : LethalMin] growSpeeds set to System.Collections.Generic.List`1[System.Single]
[12:20:04.1150768] [Debug  : LethalMin] growAttacks set to System.Collections.Generic.List`1[System.Single]
[12:20:04.1150768] [Debug  : LethalMin] growCarryStrengths set to System.Collections.Generic.List`1[System.Int32]
[12:20:04.1160790] [Debug  : LethalMin] GrowSpeedMultiplier set to 1
[12:20:04.1160790] [Debug  : LethalMin] DefaultSpeed set to 1
[12:20:04.1160790] [Debug  : LethalMin] RunningSpeedMultiplier set to 1.5
[12:20:04.1160790] [Debug  : LethalMin] CarryStrength set to 3
[12:20:04.1160790] [Debug  : LethalMin] ThrowForce set to (15.00, 15.00, 15.00)
[12:20:04.1160790] [Debug  : LethalMin] HazardsResistantTo set to System.Collections.Generic.List`1[PikminHazard]
[12:20:04.1170759] [Debug  : LethalMin] ItemDetectionRange set to 5
[12:20:04.1170759] [Debug  : LethalMin] CanLatchOnToObjects set to True
[12:20:04.1170759] [Debug  : LethalMin] CanJumpOntoObjects set to True
[12:20:04.1170759] [Debug  : LethalMin] CanCarryObjects set to True
[12:20:04.1170759] [Debug  : LethalMin] AttackStrength set to 1
[12:20:04.1170759] [Debug  : LethalMin] AttackRate set to 0.5
[12:20:04.1170759] [Debug  : LethalMin] AttackDistance set to 0.5
[12:20:04.1170759] [Debug  : LethalMin] JumpLatchOnRange set to 5
[12:20:04.1180757] [Debug  : LethalMin] DamageDeltUponDeath set to 0
[12:20:04.1180757] [Debug  : LethalMin] DeathDamageRange set to 0
[12:20:04.1180757] [Debug  : LethalMin] DamageDeltUpLanding set to 0
[12:20:04.1180757] [Debug  : LethalMin] ShakeEndurance set to 0.75
[12:20:04.1180757] [Debug  : LethalMin] SpawnsIndoors set to True
[12:20:04.1180757] [Debug  : LethalMin] SpawnsOutdoors set to False
[12:20:04.1180757] [Debug  : LethalMin] SpawnsAsSprout set to False
[12:20:04.1180757] [Debug  : LethalMin] UsesPikminContainer set to False
[12:20:04.1180757] [Debug  : LethalMin] SpawnAfterDay set to -1
[12:20:04.1180757] [Debug  : LethalMin] MoonSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[12:20:04.1180757] [Debug  : LethalMin] TagSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[12:20:04.1180757] [Debug  : LethalMin] WeatherSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[12:20:04.1195804] [Debug  : LethalMin] InstaEnterOnion set to False
[12:20:04.1195804] [Debug  : LethalMin] UsePresetFormatting set to True
[12:20:04.1195804] [Debug  : LethalMin] HelpfulLevel set to 60%
[12:20:04.1195804] [Debug  : LethalMin] ScientificName set to Parasiticus pikminicus
[12:20:04.1195804] [Debug  : LethalMin] piklopediaName set to 
[12:20:04.1195804] [Debug  : LethalMin] MaxGroupSpawnSize set to 3
[12:20:04.1195804] [Info   : LethalMin] Config file generated for Pikmin Type: Bulbmin at BepInEx/BepInEx\config\Pikmin\Bulbmin.cfg
[12:20:04.1215847] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin/Bulbmin"
[12:20:04.1215847] [Message: LethalMin] Registered Pikmin Type: Bulbmin with ID: 1
[12:20:04.1215847] [Message: LethalMin] Registering Pikmin Type: Glow Pikmin
[12:20:04.1215847] [Info   : LethalMin] Generating config file for Pikmin Type: Glow Pikmin
