[20:38:37.2083722] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Maneater Attack As Baby"
[20:38:37.2093724] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Old Bird Grab Limit"
[20:38:37.2113737] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Old Bird Grabs Pikmin"
[20:38:37.2128786] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Forest Keeper Grab Limit"
[20:38:37.2133822] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Forest Keeper Grabs Pikmin"
[20:38:37.2153865] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Jester Bite Cooldown"
[20:38:37.2163860] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Jester Bite Limit"
[20:38:37.2173863] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Butler Stab Cooldown"
[20:38:37.2195987] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Butler Stab Limit"
[20:38:37.2195987] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Baboon Hawk Bite Cooldown"
[20:38:37.2221055] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Feiopar Scratches Pikmin"
[20:38:37.2226080] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Masked Player Enemy Convert Pikmin"
[20:38:37.2246155] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Puffer Can Poison Pikmin"
[20:38:37.2256162] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Company Grabs Pikmin"
[20:38:37.2266160] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Company Hears Pikmin"
[20:38:37.2286149] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Backwater Gunkfish Carriers Trigger Spit"
[20:38:37.2324197] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Backwater Gunkfish Spit Trigger Carry Strength"
[20:38:37.2334234] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Backwater Gunkfish Slime Makes Pikmin Slip"
[20:38:37.2354603] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Puffmin Behavior/Turn To Normal On Death"
[20:38:37.2404619] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/HUD Layout Preset"
[20:38:37.2414606] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Pikmin Selection Position"
[20:38:37.2429648] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Pikmin Selection Rotation"
[20:38:37.2449693] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Pikmin Selection Scale"
