[08:38:13.4560457] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Eyeless Dog Bite Cooldown"
[08:38:13.4575500] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Eyeless Dog Bite Limit"
[08:38:13.4595560] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Hydrogere Traps Pikmin"
[08:38:13.4605551] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Hydrogere Kills Pikmin"
[08:38:13.4615546] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Circuit Bees Zap Cooldown"
[08:38:13.4640631] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Circuit Bees Zap Pikmin"
[08:38:13.4650624] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Circuit Bees Kill Pikmin"
[08:38:13.4670629] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Maneater Bite Cooldown"
[08:38:13.4680626] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Maneater Bite Limit"
[08:38:13.4690624] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Maneater Allow Carry"
[08:38:13.4700634] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Maneater Attack As Baby"
[08:38:13.4720628] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Old Bird Grab Limit"
[08:38:13.4730627] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Old Bird Grabs Pikmin"
[08:38:13.4741703] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Forest Keeper Grab Limit"
[08:38:13.4761712] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Forest Keeper Grabs Pikmin"
[08:38:13.4771711] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Jester Bite Cooldown"
[08:38:13.4791714] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Jester Bite Limit"
[08:38:13.4801713] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Butler Stab Cooldown"
[08:38:13.4811713] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Butler Stab Limit"
[08:38:13.4821713] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Baboon Hawk Bite Cooldown"
[08:38:13.4836760] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Feiopar Scratches Pikmin"
[08:38:13.4846801] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Masked Player Enemy Convert Pikmin"
[08:38:13.4866840] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Puffer Can Poison Pikmin"
[08:38:13.4876841] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Company Grabs Pikmin"
[08:38:13.4886837] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Company Hears Pikmin"
[08:38:13.4906854] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Backwater Gunkfish Carriers Trigger Spit"
[08:38:13.4916839] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Backwater Gunkfish Spit Trigger Carry Strength"
[08:38:13.4931883] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Backwater Gunkfish Slime Makes Pikmin Slip"
