[13:43:00.2113963] [Debug  : LethalMin] growSpeeds set to System.Collections.Generic.List`1[System.Single]
[13:43:00.2123941] [Debug  : LethalMin] growAttacks set to System.Collections.Generic.List`1[System.Single]
[13:43:00.2123941] [Debug  : LethalMin] growCarryStrengths set to System.Collections.Generic.List`1[System.Int32]
[13:43:00.2123941] [Debug  : LethalMin] GrowSpeedMultiplier set to 1
[13:43:00.2123941] [Debug  : LethalMin] DefaultSpeed set to 1
[13:43:00.2123941] [Debug  : LethalMin] RunningSpeedMultiplier set to 1.5
[13:43:00.2123941] [Debug  : LethalMin] CarryStrength set to 3
[13:43:00.2123941] [Debug  : LethalMin] ThrowForce set to (15.00, 15.00, 15.00)
[13:43:00.2133960] [Debug  : LethalMin] HazardsResistantTo set to System.Collections.Generic.List`1[PikminHazard]
[13:43:00.2133960] [Debug  : LethalMin] ItemDetectionRange set to 5
[13:43:00.2133960] [Debug  : LethalMin] CanLatchOnToObjects set to True
[13:43:00.2133960] [Debug  : LethalMin] CanJumpOntoObjects set to True
[13:43:00.2133960] [Debug  : LethalMin] CanCarryObjects set to True
[13:43:00.2133960] [Debug  : LethalMin] AttackStrength set to 1
[13:43:00.2133960] [Debug  : LethalMin] AttackRate set to 0.5
[13:43:00.2143959] [Debug  : LethalMin] AttackDistance set to 0.5
[13:43:00.2143959] [Debug  : LethalMin] JumpLatchOnRange set to 5
[13:43:00.2143959] [Debug  : LethalMin] DamageDeltUponDeath set to 0
[13:43:00.2143959] [Debug  : LethalMin] DeathDamageRange set to 0
[13:43:00.2143959] [Debug  : LethalMin] DamageDeltUpLanding set to 0
[13:43:00.2143959] [Debug  : LethalMin] ShakeEndurance set to 0.75
[13:43:00.2143959] [Debug  : LethalMin] SpawnsIndoors set to True
[13:43:00.2153968] [Debug  : LethalMin] SpawnsOutdoors set to False
[13:43:00.2153968] [Debug  : LethalMin] SpawnsAsSprout set to False
[13:43:00.2153968] [Debug  : LethalMin] UsesPikminContainer set to False
[13:43:00.2153968] [Debug  : LethalMin] SpawnAfterDay set to -1
