[17:21:05.2638608] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Maneater Allow Carry"
[17:21:05.2648608] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Maneater Attack As Baby"
[17:21:05.2658620] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Old Bird Grab Limit"
[17:21:05.2668614] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Old Bird Grabs Pikmin"
[17:21:05.2690108] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Forest Keeper Grab Limit"
[17:21:05.2700110] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Forest Keeper Grabs Pikmin"
[17:21:05.2710112] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Jester Bite Cooldown"
[17:21:05.2730115] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Jester Bite Limit"
[17:21:05.2740124] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Butler Stab Cooldown"
[17:21:05.2750113] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Butler Stab Limit"
[17:21:05.2770101] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Baboon Hawk Bite Cooldown"
[17:21:05.2781463] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Feiopar Scratches Pikmin"
[17:21:05.2791462] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Masked Player Enemy Convert Pikmin"
[17:21:05.2802731] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Puffer Can Poison Pikmin"
[17:21:05.2822724] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Company Grabs Pikmin"
[17:21:05.2832729] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Company Hears Pikmin"
[17:21:05.2842733] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Backwater Gunkfish Carriers Trigger Spit"
[17:21:05.2852733] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Backwater Gunkfish Spit Trigger Carry Strength"
[17:21:05.2867794] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Backwater Gunkfish Slime Makes Pikmin Slip"
[17:21:05.2887841] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Puffmin Behavior/Turn To Normal On Death"
[17:21:05.2937889] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/HUD Layout Preset"
[17:21:05.2947886] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Pikmin Selection Position"
[17:21:05.2967875] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Pikmin Selection Rotation"
[17:21:05.2982939] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Pikmin Selection Scale"
[17:21:05.2992966] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Pikmin Selection Alpha"
[17:21:05.3002972] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Enable Current Slot"
[17:21:05.3012971] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Enable Next Slot"
[17:21:05.3032967] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Enable Previous Slot"
[17:21:05.3042981] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Enable Carousel Effect"
[17:21:05.3052972] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Pikmin Counter Position"
[17:21:05.3068004] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Pikmin Counter Rotation"
[17:21:05.3088048] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Pikmin Counter Scale"
[17:21:05.3098081] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Pikmin Counter Alpha Active"
[17:21:05.3108081] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Pikmin Counter Alpha Idle"
[17:21:05.3118082] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Enable Pikmin In Existence Counter"
[17:21:05.3138078] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Enable Pikmin In Squad Counter"
[17:21:05.3148081] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Enable Pikmin In Field Counter"
[17:21:05.3158083] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Hide Selected When Scan Notification"
[17:21:05.3173110] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Dont Update Hud Configs"
[17:21:05.3183147] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Grayout Buttons In Onion HUD"
[17:21:05.3203200] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Items/Whistle Price"
[17:21:05.3223177] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Items/Ship Onion Price"
[17:21:05.3233180] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Items/Tricknoll Price"
[17:21:05.3243179] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Items/PluckaPhone Price"
