[17:55:04.2966661] [Info   : LethalMin] LethalMin: Registering Items
[17:55:04.3166814] [Info   : LethalMin] LethalMin: Registering Pikmin Types
[17:55:04.3549595] [Info   : LethalMin] Registering 10 Pikmin Types
[17:55:04.3579595] [Message: LethalMin] Registering Pikmin Type: Blue Pikmin
[17:55:04.3589594] [Info   : LethalMin] Generating config file for Pikmin Type: Blue Pikmin
[17:55:04.3650376] [Debug  : LethalMin] PikminPrimaryColor set to RGBA(0.000, 0.000, 1.000, 1.000)
[17:55:04.3660384] [Debug  : LethalMin] PikminSecondaryColor set to RGBA(0.000, 0.000, 0.502, 1.000)
[17:55:04.3660384] [Debug  : LethalMin] Skipping unsupported field type: PikminIcon (UnityEngine.Sprite)
[17:55:04.3660384] [Debug  : LethalMin] Skipping unsupported field type: AnimatedPikminGhostTexture (UnityEngine.Texture2D[])
[17:55:04.3660384] [Debug  : LethalMin] AnimatedPikminGhostFrameHold set to 2
[17:55:04.3680404] [Debug  : LethalMin] OverrideGhostTextureTileing set to (1.00, 1.00)
[17:55:04.3680404] [Debug  : LethalMin] OverrideGhostTextureOffset set to (0.00, 0.00)
[17:55:04.3695457] [Debug  : LethalMin] SetGhostColor set to True
[17:55:04.3695457] [Debug  : LethalMin] DisableRegistration set to False
[17:55:04.3705507] [Debug  : LethalMin] SetColorOnSprout set to True
[17:55:04.3705507] [Debug  : LethalMin] UseOverrideSproutGlowColor set to False
[17:55:04.3705507] [Debug  : LethalMin] OverrideSproutGlowColor set to RGBA(1.000, 1.000, 1.000, 1.000)
[17:55:04.3715504] [Debug  : LethalMin] growSpeeds set to System.Collections.Generic.List`1[System.Single]
[17:55:04.3715504] [Debug  : LethalMin] growAttacks set to System.Collections.Generic.List`1[System.Single]
[17:55:04.3725547] [Debug  : LethalMin] growCarryStrengths set to System.Collections.Generic.List`1[System.Int32]
[17:55:04.3735550] [Debug  : LethalMin] GrowSpeedMultiplier set to 1
[17:55:04.3735550] [Debug  : LethalMin] DefaultSpeed set to 1
[17:55:04.3735550] [Debug  : LethalMin] RunningSpeedMultiplier set to 1.5
[17:55:04.3735550] [Debug  : LethalMin] CarryStrength set to 3
[17:55:04.3745534] [Debug  : LethalMin] ThrowForce set to (15.00, 15.00, 15.00)
[17:55:04.3765561] [Debug  : LethalMin] HazardsResistantTo set to System.Collections.Generic.List`1[PikminHazard]
[17:55:04.3775540] [Debug  : LethalMin] ItemDetectionRange set to 5
[17:55:04.3775540] [Debug  : LethalMin] CanLatchOnToObjects set to True
[17:55:04.3775540] [Debug  : LethalMin] CanJumpOntoObjects set to True
[17:55:04.3775540] [Debug  : LethalMin] CanCarryObjects set to True
[17:55:04.3775540] [Debug  : LethalMin] AttackStrength set to 1
[17:55:04.3775540] [Debug  : LethalMin] AttackRate set to 0.5
[17:55:04.3785556] [Debug  : LethalMin] AttackDistance set to 0.5
[17:55:04.3785556] [Debug  : LethalMin] JumpLatchOnRange set to 5
[17:55:04.3785556] [Debug  : LethalMin] DamageDeltUponDeath set to 0
[17:55:04.3785556] [Debug  : LethalMin] DeathDamageRange set to 0
[17:55:04.3785556] [Debug  : LethalMin] DamageDeltUpLanding set to 0
[17:55:04.3785556] [Debug  : LethalMin] ShakeEndurance set to 0.75
[17:55:04.3785556] [Debug  : LethalMin] SpawnsIndoors set to False
[17:55:04.3785556] [Debug  : LethalMin] SpawnsOutdoors set to True
[17:55:04.3795550] [Debug  : LethalMin] SpawnsAsSprout set to True
[17:55:04.3795550] [Debug  : LethalMin] UsesPikminContainer set to False
[17:55:04.3795550] [Debug  : LethalMin] SpawnAfterDay set to -1
[17:55:04.3795550] [Debug  : LethalMin] MoonSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[17:55:04.3795550] [Debug  : LethalMin] TagSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[17:55:04.3795550] [Debug  : LethalMin] WeatherSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[17:55:04.3795550] [Debug  : LethalMin] InstaEnterOnion set to False
[17:55:04.3795550] [Debug  : LethalMin] UsePresetFormatting set to True
[17:55:04.3795550] [Debug  : LethalMin] HelpfulLevel set to 45%
[17:55:04.3806902] [Debug  : LethalMin] ScientificName set to Pikminidae caerula
[17:55:04.3806902] [Debug  : LethalMin] piklopediaName set to 
[17:55:04.3806902] [Debug  : LethalMin] MaxGroupSpawnSize set to 3
[17:55:04.3806902] [Info   : LethalMin] Config file generated for Pikmin Type: Blue Pikmin at BepInEx/BepInEx\config\Pikmin\Blue Pikmin.cfg
[17:55:04.3826921] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin/Blue Pikmin"
[17:55:04.3846918] [Info   : LethalMin] Added event at time (4.59) for Pikmin_Stretch
[17:55:04.3846918] [Info   : LethalMin] Added event at time (3.956667) for Pikmin_Yawn
[17:55:04.3846918] [Message: LethalMin] Registered Pikmin Type: Blue Pikmin with ID: 0
[17:55:04.3846918] [Message: LethalMin] Registering Pikmin Type: Bulbmin
[17:55:04.3846918] [Info   : LethalMin] Generating config file for Pikmin Type: Bulbmin
[17:55:04.3918466] [Debug  : LethalMin] PikminPrimaryColor set to RGBA(0.906, 0.608, 0.365, 1.000)
[17:55:04.3918466] [Debug  : LethalMin] PikminSecondaryColor set to RGBA(0.502, 0.224, 0.000, 1.000)
[17:55:04.3918466] [Debug  : LethalMin] Skipping unsupported field type: PikminIcon (UnityEngine.Sprite)
[17:55:04.3918466] [Debug  : LethalMin] Skipping unsupported field type: AnimatedPikminGhostTexture (UnityEngine.Texture2D[])
[17:55:04.3918466] [Debug  : LethalMin] AnimatedPikminGhostFrameHold set to 2
[17:55:04.3918466] [Debug  : LethalMin] OverrideGhostTextureTileing set to (1.00, 1.50)
[17:55:04.3928447] [Debug  : LethalMin] OverrideGhostTextureOffset set to (0.00, -0.25)
[17:55:04.3928447] [Debug  : LethalMin] SetGhostColor set to False
[17:55:04.3928447] [Debug  : LethalMin] DisableRegistration set to False
[17:55:04.3928447] [Debug  : LethalMin] SetColorOnSprout set to True
[17:55:04.3928447] [Debug  : LethalMin] UseOverrideSproutGlowColor set to True
[17:55:04.3928447] [Debug  : LethalMin] OverrideSproutGlowColor set to RGBA(0.220, 1.000, 0.000, 1.000)
[17:55:04.3928447] [Debug  : LethalMin] growSpeeds set to System.Collections.Generic.List`1[System.Single]
[17:55:04.3928447] [Debug  : LethalMin] growAttacks set to System.Collections.Generic.List`1[System.Single]
[17:55:04.3938447] [Debug  : LethalMin] growCarryStrengths set to System.Collections.Generic.List`1[System.Int32]
[17:55:04.3938447] [Debug  : LethalMin] GrowSpeedMultiplier set to 1
[17:55:04.3938447] [Debug  : LethalMin] DefaultSpeed set to 1
[17:55:04.3938447] [Debug  : LethalMin] RunningSpeedMultiplier set to 1.5
[17:55:04.3938447] [Debug  : LethalMin] CarryStrength set to 3
[17:55:04.3938447] [Debug  : LethalMin] ThrowForce set to (15.00, 15.00, 15.00)
[17:55:04.3938447] [Debug  : LethalMin] HazardsResistantTo set to System.Collections.Generic.List`1[PikminHazard]
[17:55:04.3948445] [Debug  : LethalMin] ItemDetectionRange set to 5
[17:55:04.3948445] [Debug  : LethalMin] CanLatchOnToObjects set to True
[17:55:04.3948445] [Debug  : LethalMin] CanJumpOntoObjects set to True
[17:55:04.3948445] [Debug  : LethalMin] CanCarryObjects set to True
[17:55:04.3948445] [Debug  : LethalMin] AttackStrength set to 1
[17:55:04.3948445] [Debug  : LethalMin] AttackRate set to 0.5
[17:55:04.3948445] [Debug  : LethalMin] AttackDistance set to 0.5
[17:55:04.3948445] [Debug  : LethalMin] JumpLatchOnRange set to 5
[17:55:04.3958435] [Debug  : LethalMin] DamageDeltUponDeath set to 0
[17:55:04.3958435] [Debug  : LethalMin] DeathDamageRange set to 0
[17:55:04.3958435] [Debug  : LethalMin] DamageDeltUpLanding set to 0
[17:55:04.3958435] [Debug  : LethalMin] ShakeEndurance set to 0.75
[17:55:04.3958435] [Debug  : LethalMin] SpawnsIndoors set to True
[17:55:04.3958435] [Debug  : LethalMin] SpawnsOutdoors set to False
[17:55:04.3958435] [Debug  : LethalMin] SpawnsAsSprout set to False
[17:55:04.3968451] [Debug  : LethalMin] UsesPikminContainer set to False
[17:55:04.3968451] [Debug  : LethalMin] SpawnAfterDay set to -1
[17:55:04.3968451] [Debug  : LethalMin] MoonSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[17:55:04.3968451] [Debug  : LethalMin] TagSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[17:55:04.3968451] [Debug  : LethalMin] WeatherSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[17:55:04.3968451] [Debug  : LethalMin] InstaEnterOnion set to False
[17:55:04.3968451] [Debug  : LethalMin] UsePresetFormatting set to True
[17:55:04.3978443] [Debug  : LethalMin] HelpfulLevel set to 60%
[17:55:04.3978443] [Debug  : LethalMin] ScientificName set to Parasiticus pikminicus
[17:55:04.3978443] [Debug  : LethalMin] piklopediaName set to 
[17:55:04.3978443] [Debug  : LethalMin] MaxGroupSpawnSize set to 3
[17:55:04.3978443] [Info   : LethalMin] Config file generated for Pikmin Type: Bulbmin at BepInEx/BepInEx\config\Pikmin\Bulbmin.cfg
[17:55:04.3998450] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin/Bulbmin"
[17:55:04.3998450] [Message: LethalMin] Registered Pikmin Type: Bulbmin with ID: 1
[17:55:04.3998450] [Message: LethalMin] Registering Pikmin Type: Glow Pikmin
[17:55:04.3998450] [Info   : LethalMin] Generating config file for Pikmin Type: Glow Pikmin
[17:55:04.4010190] [Debug  : LethalMin] PikminPrimaryColor set to RGBA(0.000, 1.000, 0.008, 1.000)
[17:55:04.4010190] [Debug  : LethalMin] PikminSecondaryColor set to RGBA(0.102, 0.565, 0.035, 1.000)
[17:55:04.4010190] [Debug  : LethalMin] Skipping unsupported field type: PikminIcon (UnityEngine.Sprite)
[17:55:04.4010190] [Debug  : LethalMin] Skipping unsupported field type: AnimatedPikminGhostTexture (UnityEngine.Texture2D[])
[17:55:04.4020175] [Debug  : LethalMin] AnimatedPikminGhostFrameHold set to 2
[17:55:04.4020175] [Debug  : LethalMin] OverrideGhostTextureTileing set to (1.00, 1.00)
[17:55:04.4020175] [Debug  : LethalMin] OverrideGhostTextureOffset set to (0.00, 0.00)
[17:55:04.4020175] [Debug  : LethalMin] SetGhostColor set to True
[17:55:04.4020175] [Debug  : LethalMin] DisableRegistration set to False
[17:55:04.4020175] [Debug  : LethalMin] SetColorOnSprout set to True
[17:55:04.4020175] [Debug  : LethalMin] UseOverrideSproutGlowColor set to False
[17:55:04.4020175] [Debug  : LethalMin] OverrideSproutGlowColor set to RGBA(1.000, 1.000, 1.000, 1.000)
[17:55:04.4020175] [Debug  : LethalMin] growSpeeds set to System.Collections.Generic.List`1[System.Single]
[17:55:04.4030169] [Debug  : LethalMin] growAttacks set to System.Collections.Generic.List`1[System.Single]
[17:55:04.4030169] [Debug  : LethalMin] growCarryStrengths set to System.Collections.Generic.List`1[System.Int32]
[17:55:04.4030169] [Debug  : LethalMin] GrowSpeedMultiplier set to 5
[17:55:04.4030169] [Debug  : LethalMin] DefaultSpeed set to 1
[17:55:04.4030169] [Debug  : LethalMin] RunningSpeedMultiplier set to 1.5
[17:55:04.4030169] [Debug  : LethalMin] CarryStrength set to 3
[17:55:04.4030169] [Debug  : LethalMin] ThrowForce set to (15.00, 15.00, 15.00)
[17:55:04.4040166] [Debug  : LethalMin] HazardsResistantTo set to System.Collections.Generic.List`1[PikminHazard]
[17:55:04.4040166] [Debug  : LethalMin] ItemDetectionRange set to 5
[17:55:04.4040166] [Debug  : LethalMin] CanLatchOnToObjects set to True
[17:55:04.4040166] [Debug  : LethalMin] CanJumpOntoObjects set to True
[17:55:04.4040166] [Debug  : LethalMin] CanCarryObjects set to True
[17:55:04.4040166] [Debug  : LethalMin] AttackStrength set to 1
[17:55:04.4040166] [Debug  : LethalMin] AttackRate set to 0.5
[17:55:04.4040166] [Debug  : LethalMin] AttackDistance set to 0.5
[17:55:04.4050190] [Debug  : LethalMin] JumpLatchOnRange set to 5
[17:55:04.4050190] [Debug  : LethalMin] DamageDeltUponDeath set to 0
[17:55:04.4050190] [Debug  : LethalMin] DeathDamageRange set to 0
[17:55:04.4050190] [Debug  : LethalMin] DamageDeltUpLanding set to 0
[17:55:04.4050190] [Debug  : LethalMin] ShakeEndurance set to 0.75
[17:55:04.4050190] [Debug  : LethalMin] SpawnsIndoors set to False
[17:55:04.4050190] [Debug  : LethalMin] SpawnsOutdoors set to False
[17:55:04.4050190] [Debug  : LethalMin] SpawnsAsSprout set to False
[17:55:04.4060179] [Debug  : LethalMin] UsesPikminContainer set to False
