[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: InteractTrigger (1) (UnityEngine.GameObject)
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: PlaceTrigger (UnityEngine.GameObject)
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: ItemFilter (UnityEngine.GameObject)
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Cube (UnityEngine.GameObject)
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Cube (UnityEngine.GameObject)
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Cube (UnityEngine.GameObject)
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: BreakerSwitch1 (UnityEngine.GameObject)
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: BreakerSwitch2 (UnityEngine.GameObject)
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: BreakerSwitch3 (UnityEngine.GameObject)
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: BreakerSwitch4 (UnityEngine.GameObject)
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: BreakerSwitch5 (UnityEngine.GameObject)
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: PowerBoxDoor (UnityEngine.GameObject)
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Cube (UnityEngine.GameObject)
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Cube (UnityEngine.GameObject)
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Cube (UnityEngine.GameObject)
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: InteractTrigger (UnityEngine.GameObject)
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: InteractTrigger (1) (UnityEngine.GameObject)
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: PlaceTrigger (UnityEngine.GameObject)
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: ItemFilter (UnityEngine.GameObject)
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: InteractTrigger (UnityEngine.GameObject)
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: InteractTrigger (1) (UnityEngine.GameObject)
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: PlaceTrigger (UnityEngine.GameObject)
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: ItemFilter (UnityEngine.GameObject)
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: SteamValve(Clone) (UnityEngine.GameObject)
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: InsertTrigger (UnityEngine.GameObject)
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Cube (UnityEngine.GameObject)
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Cube (UnityEngine.GameObject)
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: EntranceTeleportB(Clone) (UnityEngine.GameObject)
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Cube (UnityEngine.GameObject)
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Cube (UnityEngine.GameObject)
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Cube (UnityEngine.GameObject)
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: EntranceTeleportA(Clone) (UnityEngine.GameObject)
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Trigger (UnityEngine.GameObject)
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: HoardingBugEggs(Clone) (UnityEngine.GameObject)
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: DataPC(Clone) (UnityEngine.GameObject)
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Pentagram(Clone) (UnityEngine.GameObject)
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: SerialDisplay (UnityEngine.GameObject)
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: RedTrigger (UnityEngine.GameObject)
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: RedTrigger (UnityEngine.GameObject)
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: RedTrigger (UnityEngine.GameObject)
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: RedTrigger (UnityEngine.GameObject)
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: GreenTrigger (UnityEngine.GameObject)
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: GreenTrigger (UnityEngine.GameObject)
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: GreenTrigger (UnityEngine.GameObject)
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: GreenTrigger (UnityEngine.GameObject)
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: BlueTrigger (UnityEngine.GameObject)
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: BlueTrigger (UnityEngine.GameObject)
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: BlueTrigger (UnityEngine.GameObject)
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: BlueTrigger (UnityEngine.GameObject)
[10:31:24.2230365] [Debug  :Matty's Fixes] Vanilla/Apparatus(388) needs to compute vertical offset - scheduled
[10:31:24.2230365] [Info   : LethalMin] Creating PikminItemNode for LungApparatus(Clone) at (40.85, -223.46, 19.50)...
[10:31:24.2240419] [Debug  : LethalMin] Initializing PikminItem PikminItemNode(Clone) with item PikminItemNode(Clone) (True)
[10:31:24.2240419] [Info   : LethalMin] PikminItem PikminItemNode(Clone) has no carry strength set, setting to default
[10:31:24.2240419] [Debug  : LethalMin] Calculated weight for Apparatus: 31 lb, Devided weight: 12.4 lb
[10:31:24.2240419] [Debug  : LethalMin] A True, B True rename reasons
[10:31:24.2240419] [Debug  : LethalMin] (Apparatus (PikminItem Node)) Colider: LungApparatus(Clone) (UnityEngine.BoxCollider)
[10:31:24.2240419] [Debug  : LethalMin] (Apparatus (PikminItem Node)) Center: (40.88, -223.47, 19.50)
[10:31:24.2250419] [Info   :LethalPerformance.Patcher] Saved 1 config(s)
[10:31:24.2260420] [Debug  :More Ship Upgrades] Midas Touch affecting apparatus is enabled, increasing the original scrap value of apparatus (80)...
[10:31:24.2260420] [Debug  :More Ship Upgrades] Set new scrap value of apparatus to 80...
